"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AENJPLPP_02551",90.8980183420864,1.87651688730707,0.227573164090047,8.24577403407974,1.64094506201335e-16,2.91625672765863e-15
"AENJPLPP_01207",169.518274818158,-1.60999452415157,0.195882695298776,-8.2191768991941,2.04904610987834e-16,3.61724939930523e-15
"AENJPLPP_01754",541.445590891247,1.4746156771506,0.180323894266907,8.17759445106005,2.89566437780396e-16,5.07795978306284e-15
"AENJPLPP_02391",135.199358389446,1.72288545693033,0.210790255839383,8.17345873066886,2.99671898832953e-16,5.22059992177408e-15
"AENJPLPP_01503",77.4062703529867,-2.25205127540019,0.277819404491014,-8.10616983189535,5.22404125526077e-16,9.04134721825525e-15
"AENJPLPP_02095",82.9569490015914,-2.1666863810156,0.267434465984412,-8.10174699450253,5.41755205061795e-16,9.31537521430931e-15
"AENJPLPP_01497",69.5947836338244,-2.27412240188631,0.280984586899435,-8.0934062148406,5.80189704060481e-16,9.91188604098164e-15
"AENJPLPP_00624",124.20754271711,1.69477231279214,0.210138541438033,8.0650236800654,7.32216727955619e-16,1.24289095873492e-14
"AENJPLPP_00327",62.7936513648516,2.44985275360651,0.304006929533903,8.05854247257644,7.72094963154401e-16,1.302234052505e-14
"AENJPLPP_00386",346.107888255474,1.28790735965656,0.160302827118571,8.03421488445701,9.41800111919768e-16,1.57840930149591e-14
"AENJPLPP_02873",81.6001851083269,1.95707597663253,0.24372516213246,8.02984788074074,9.75935976211954e-16,1.62533236793035e-14
"AENJPLPP_01924",245.953776278486,1.48796586055846,0.185417808699933,8.02493498866918,1.01579723933408e-15,1.6811444310979e-14
"AENJPLPP_00531",35.2122464839459,3.29134896983505,0.41028980456128,8.02201013343352,1.04028556868215e-15,1.71097899743499e-14
"AENJPLPP_02928",137.761001155097,5.28218362252382,0.658615039839021,8.0201381733021,1.05626280667268e-15,1.72653327905509e-14
"AENJPLPP_01505",91.3147204814101,-1.96737588505907,0.245412978358437,-8.01659267663354,1.08718902778576e-15,1.76618192980165e-14
